"ESNG"	"Symbol"	"cds_length"
"ENSG00000000003"	"TSPAN6"	7621
"ENSG00000000005"	"TNMD"	1636
"ENSG00000000419"	"DPM1"	16165
"ENSG00000000457"	"SCYL3"	8707
"ENSG00000000460"	"C1orf112"	7617
"ENSG00000000938"	"FGR"	6727
"ENSG00000000971"	"CFH"	9915
"ENSG00000001036"	"FUCA2"	3379
"ENSG00000001084"	"GCLC"	15179
"ENSG00000001167"	"NFYA"	6893
"ENSG00000001460"	"STPG1"	12737
"ENSG00000001461"	"NIPAL3"	10656
"ENSG00000001497"	"LAS1L"	33412
"ENSG00000001561"	"ENPP4"	4640
"ENSG00000001617"	"SEMA3F"	9490
"ENSG00000001626"	"CFTR"	19098
"ENSG00000001629"	"ANKIB1"	9326
"ENSG00000001630"	"CYP51A1"	5662
"ENSG00000001631"	"KRIT1"	72222
"ENSG00000002016"	"RAD52"	13974
"ENSG00000002079"	"MYH16"	7351
"ENSG00000002330"	"BAD"	2991
"ENSG00000002549"	"LAP3"	7062
"ENSG00000002586"	"CD99"	8283
"ENSG00000002587"	"HS3ST1"	7786
"ENSG00000002726"	"AOC1"	6580
"ENSG00000002745"	"WNT16"	3836
"ENSG00000002746"	"HECW1"	17430
"ENSG00000002822"	"MAD1L1"	9523
"ENSG00000002834"	"LASP1"	15633
"ENSG00000002919"	"SNX11"	11040
"ENSG00000002933"	"TMEM176A"	7584
"ENSG00000003056"	"M6PR"	10112
"ENSG00000003096"	"KLHL13"	10171
"ENSG00000003137"	"CYP26B1"	8486
"ENSG00000003147"	"ICA1"	10617
"ENSG00000003249"	"DBNDD1"	6689
"ENSG00000003393"	"ALS2"	95247
"ENSG00000003400"	"CASP10"	17072
"ENSG00000003402"	"CFLAR"	29604
"ENSG00000003436"	"TFPI"	14190
"ENSG00000003509"	"NDUFAF7"	7217
"ENSG00000003756"	"RBM5"	18825
"ENSG00000003987"	"MTMR7"	7819
"ENSG00000003989"	"SLC7A2"	19873
"ENSG00000004059"	"ARF5"	3855
"ENSG00000004139"	"SARM1"	15581
"ENSG00000004142"	"POLDIP2"	3447
"ENSG00000004399"	"PLXND1"	13615
"ENSG00000004455"	"AK2"	26301
"ENSG00000004468"	"CD38"	9031
"ENSG00000004478"	"FKBP4"	6398
"ENSG00000004487"	"KDM1A"	39674
"ENSG00000004534"	"RBM6"	12596
"ENSG00000004660"	"CAMKK1"	7882
"ENSG00000004700"	"RECQL"	5944
"ENSG00000004766"	"VPS50"	19693
"ENSG00000004776"	"HSPB6"	2603
"ENSG00000004777"	"ARHGAP33"	8967
"ENSG00000004779"	"NDUFAB1"	2322
"ENSG00000004799"	"PDK4"	6922
